date,chain,dex,pair,pair_address,base_symbol,base_address,quote_symbol,price_usd,liquidity_usd,market_cap,fdv,vol_24h,vol_6h,vol_1h,txns_24h_buys,txns_24h_sells,price_change_24h,pair_created_at,pool_age_days,vol_tvl_24h,buy_sell_ratio_24h,labels,passed_filter,discovery_source,fee_tier_bps,fee_read_method,dynamic_fee,est_fees_24h_usd,est_fees_per_tvl_24h,vol_7d_usd,fees_7d_usd,tvl_avg_7d_usd,data_days
2026-06-10,base,uniswap,BRETT/WETH,0xBA3F945812a83471d709BCe9C3CA699A19FB46f7,BRETT,0x532f27101965dd16442E59d40670FaF5eBB142E4,WETH,0.005357,974337.61,53087879.0,53087879.0,835.39,445.81,0.0,12,7,-1.61,1709041137000,833.74,0.0009,1.714,v3,True,trending_meta,100.0,fee(),False,8.35,9e-06,,,,
2026-06-10,base,uniswap,TOSHI/WETH,0x4b0Aaf3EBb163dd45F663b38b6d93f6093EBC2d3,TOSHI,0xAC1Bd2486aAf3B5C0fc3Fd868558b082a531B2B4,WETH,0.0001187,943064.72,49949353.0,49949353.0,8735.91,792.23,201.06,26,17,-3.27,1699314201000,946.32,0.0093,1.529,v3,True,trending_meta,100.0,fee(),False,87.36,9.3e-05,,,,
2026-06-10,base,uniswap,KEYCAT/WETH,0x377FeeeD4820B3B28D1ab429509e7A0789824fCA,KEYCAT,0x9a26F5433671751C3276a065f57e5a02D2817973,WETH,0.0004,530454.82,4000201.0,4000201.0,29899.53,6499.64,2089.06,117,113,-1.52,1711420803000,806.2,0.0564,1.035,v2,True,trending_meta,,unreadable,,,,,,,
2026-06-10,base,uniswap,doginme/WETH,0xADE9BcD4b968EE26Bed102dd43A55f6A8c2416df,doginme,0x6921B130D297cc43754afba22e5EAc0FBf8Db75b,WETH,6.753e-05,917721.9,4566920.0,4566920.0,7971.54,102.89,1.52,27,40,-4.08,1707089717000,856.33,0.0087,0.675,v3,True,trending_meta,100.0,fee(),False,79.72,8.7e-05,,,,
2026-06-10,base,uniswap,SKI/WETH,0x6d6391B9bD02Eefa00FA711fB1Cb828A6471d283,SKI,0x768BE13e1680b5ebE0024C42c896E3dB59ec0149,WETH,0.004837,587191.85,4837312.0,4837312.0,22190.81,1629.28,48.79,93,51,-4.13,1712667481000,791.77,0.0378,1.824,v2,True,trending_meta,,unreadable,,,,,,,
2026-06-10,base,aerodrome,VIRTUAL/WETH,0x21594b992F68495dD28d605834b58889d0a727c7,VIRTUAL,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,WETH,0.5663,4078756.0,372093994.0,566303487.0,274682.07,38905.0,3353.62,964,605,-1.8,1711899559000,800.66,0.0673,1.593,,True,trending_meta,,unreadable,,,,,,,
2026-06-10,base,uniswap,BNKR/WETH,0xAEC085E5A5CE8d96A7bDd3eB3A62445d4f6CE703,BNKR,0x22aF33FE49fD1Fa80c7149773dDe5890D3c76F3b,WETH,0.0004993,2216397.62,48420357.0,48420357.0,49205.88,2319.72,94.73,312,308,-5.17,1733201093000,554.11,0.0222,1.013,v3,True,trending_meta,100.0,fee(),False,492.06,0.000222,,,,
2026-06-10,base,aerodrome,SERV/WETH,0x7f31b371AC675Bca3357fd9c26854feD067400c0,SERV,0x5576D6ed9181F2225afF5282Ac0ED29f755437Ea,WETH,0.07087,1205967.51,54577021.0,6408550.0,210122.78,35999.7,13450.44,691,126,-2.41,,,0.1742,5.484,,True,trending_meta,100.0,fee(),False,2101.23,0.001742,,,,
2026-06-10,base,uniswap,AIXBT/VIRTUAL,0x7464850CC1cFb54A2223229b77B1BCA2f888D946,AIXBT,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,VIRTUAL,0.02125,822093.48,21136885.0,21141148.0,1359.63,92.41,0.16,54,2,-2.6,1730525195000,585.09,0.0017,27.0,v2,True,trending_meta,,unreadable,,,,,,,
2026-06-10,base,aerodrome,REI/WETH,0x34E3334E845d101205394e0Bd8821fDdc7Cd5559,REI,0x6B2504A03ca4D43d0D73776F6aD46dAb2F2a4cFD,WETH,0.01836,1612311.89,18369259.0,18369259.0,69887.39,131.98,70.67,118,55,-4.68,,,0.0433,2.145,,True,trending_meta,100.0,fee(),False,698.87,0.000433,,,,
2026-06-10,base,uniswap,PITCH/ETH,0xacd168b06cfb4ed3a7701d64752e7667f1e6063e05144cec1883b5b5fd91633a,PITCH,0xeaE13ea73BEc936664A51734c8c01ec7c3B0699C,ETH,1.083,829811.83,1015627.0,1015331.0,155924.21,35090.6,8722.43,243,226,-14.72,1779047863000,23.48,0.1879,1.075,v4,True,trending_meta,,non_evm_address,,,,,,,
2026-06-10,base,uniswap,DEGEN/WETH,0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,DEGEN,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,WETH,0.001561,1308824.51,57312365.0,57312365.0,870655.45,470635.61,221366.34,3508,4024,6.61,1704655845000,884.5,0.6652,0.872,v3,True,trending_meta,30.0,fee(),False,2611.97,0.001996,,,,
2026-06-10,base,uniswap,PING/USDC,0x98c8f03094a9e65ccedc14c40130e4a5dd0ce14fb12ea58cbeac11f662b458b9,PING,0xd85c31854c2B0Fb40aaA9E2Fc4Da23C21f829d46,USDC,0.001247,1030929.17,1247534.0,1247534.0,19675.51,305.23,0.0,30,19,-8.78,1761147317000,230.66,0.0191,1.579,v4,True,trending_meta,,non_evm_address,,,,,,,
2026-06-10,base,uniswap,BENJI/WETH,0x16905890A1D02b6F824387419319Bf4188B961b0,BENJI,0xBC45647eA894030a4E9801Ec03479739FA2485F0,WETH,0.001673,297328.56,1673221.0,1673221.0,72664.37,13764.1,0.0,648,557,-9.1,1711225521000,808.46,0.2444,1.163,v2,True,search,,unreadable,,,,,,,
2026-06-10,base,aerodrome,cbXRP/WETH,0xB90fe999Be6869AF0aFC557DCCfBE169EA3403D6,cbXRP,0xcb585250f852C6c6bf90434AB21A00f02833a4af,WETH,1.11,261316.52,96118075.0,96118075.0,785007.12,137099.53,38319.55,1112,1312,-4.19,,,3.004,0.848,,True,search,5.0,fee(),False,392.5,0.001502,,,,
2026-06-10,base,uniswap,PEPE/WETH,0x0FB597D6cFE5bE0d5258A7f017599C2A4Ece34c7,PEPE,0x52b492a33E447Cdb854c7FC19F1e57E8BfA1777D,WETH,3.49e-09,206354.49,1422498.0,1422498.0,816.6,74.37,0.0,19,14,-4.04,1723143983000,670.52,0.004,1.357,v3,True,search,100.0,fee(),False,8.17,4e-05,,,,
2026-06-10,base,aerodrome,cbBTC/WETH,0x70aCDF2Ad0bf2402C957154f944c19Ef4e1cbAE1,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,WETH,61636.41,12427589.63,5295011610.0,2490685054.0,76531367.75,14727786.7,2336768.79,17399,15554,-2.31,,,6.1582,1.119,,True,search,2.15,fee(),False,16454.24,0.001324,905219234.46,452609.62,28157062.18,8
